"treatment","replicate","initial","num_died","total_surv","prop_surv","hour","exp_date"
0,"A",10,0,10,1,0,2024-01-14
0,"B",10,0,10,1,0,2024-01-14
1000,"A",10,0,10,1,0,2024-01-14
1000,"B",10,0,10,1,0,2024-01-14
2000,"A",10,0,10,1,0,2024-01-14
2000,"B",10,0,10,1,0,2024-01-14
3000,"A",8,0,8,1,0,2024-01-14
3000,"B",10,0,10,1,0,2024-01-14
4000,"A",10,0,10,1,0,2024-01-14
4000,"B",10,0,10,1,0,2024-01-14
5000,"A",10,0,10,1,0,2024-01-14
5000,"B",10,0,10,1,0,2024-01-14
6000,"A",10,0,10,1,0,2024-01-14
6000,"B",11,0,11,1,0,2024-01-14
7000,"A",10,0,10,1,0,2024-01-14
7000,"B",11,0,11,1,0,2024-01-14
0,"A",10,0,10,1,4,2024-01-14
0,"B",10,0,10,1,4,2024-01-14
1000,"A",10,0,10,1,4,2024-01-14
1000,"B",10,0,10,1,4,2024-01-14
2000,"A",10,0,10,1,4,2024-01-14
2000,"B",10,0,10,1,4,2024-01-14
3000,"A",8,0,8,1,4,2024-01-14
3000,"B",10,0,10,1,4,2024-01-14
4000,"A",10,0,10,1,4,2024-01-14
4000,"B",10,0,10,1,4,2024-01-14
5000,"A",10,0,10,1,4,2024-01-14
5000,"B",10,0,10,1,4,2024-01-14
6000,"A",10,0,10,1,4,2024-01-14
6000,"B",11,0,11,1,4,2024-01-14
7000,"A",10,0,10,1,4,2024-01-14
7000,"B",11,0,11,1,4,2024-01-14
0,"A",10,0,10,1,23,2024-01-14
0,"B",10,0,10,1,23,2024-01-14
1000,"A",10,0,10,1,23,2024-01-14
1000,"B",10,0,10,1,23,2024-01-14
2000,"A",10,0,10,1,23,2024-01-14
2000,"B",10,0,10,1,23,2024-01-14
3000,"A",8,0,8,1,23,2024-01-14
3000,"B",10,0,10,1,23,2024-01-14
4000,"A",10,1,9,0.9,23,2024-01-14
4000,"B",10,0,10,1,23,2024-01-14
5000,"A",10,0,10,1,23,2024-01-14
5000,"B",10,0,10,1,23,2024-01-14
6000,"A",10,5,5,0.5,23,2024-01-14
6000,"B",11,4,7,0.636363636363636,23,2024-01-14
7000,"A",10,6,4,0.4,23,2024-01-14
7000,"B",11,8,3,0.272727272727273,23,2024-01-14
0,"A",10,0,10,1,47,2024-01-14
0,"B",10,0,10,1,47,2024-01-14
1000,"A",10,0,10,1,47,2024-01-14
1000,"B",10,0,10,1,47,2024-01-14
2000,"A",10,0,10,1,47,2024-01-14
2000,"B",10,0,10,1,47,2024-01-14
3000,"A",8,0,8,1,47,2024-01-14
3000,"B",10,0,10,1,47,2024-01-14
4000,"A",10,2,8,0.8,47,2024-01-14
4000,"B",10,3,7,0.7,47,2024-01-14
5000,"A",10,3,7,0.7,47,2024-01-14
5000,"B",10,7,3,0.3,47,2024-01-14
6000,"A",10,8,2,0.2,47,2024-01-14
6000,"B",11,7,4,0.363636363636364,47,2024-01-14
7000,"A",10,9,1,0.1,47,2024-01-14
7000,"B",11,11,0,0,47,2024-01-14
0,"A",10,0,10,1,71,2024-01-14
0,"B",10,0,10,1,71,2024-01-14
1000,"A",10,0,10,1,71,2024-01-14
1000,"B",10,0,10,1,71,2024-01-14
2000,"A",10,0,10,1,71,2024-01-14
2000,"B",10,1,9,0.9,71,2024-01-14
3000,"A",8,1,7,0.875,71,2024-01-14
3000,"B",10,0,10,1,71,2024-01-14
4000,"A",10,2,8,0.8,71,2024-01-14
4000,"B",10,5,5,0.5,71,2024-01-14
5000,"A",10,5,5,0.5,71,2024-01-14
5000,"B",10,10,0,0,71,2024-01-14
6000,"A",10,10,0,0,71,2024-01-14
6000,"B",11,9,2,0.181818181818182,71,2024-01-14
7000,"A",10,9,1,0.1,71,2024-01-14
7000,"B",11,11,0,0,71,2024-01-14
0,"A",10,0,10,1,94,2024-01-14
0,"B",10,0,10,1,94,2024-01-14
1000,"A",10,0,10,1,94,2024-01-14
1000,"B",10,0,10,1,94,2024-01-14
2000,"A",10,0,10,1,94,2024-01-14
2000,"B",10,1,9,0.9,94,2024-01-14
3000,"A",8,1,7,0.875,94,2024-01-14
3000,"B",10,0,10,1,94,2024-01-14
4000,"A",10,2,8,0.8,94,2024-01-14
4000,"B",10,8,2,0.2,94,2024-01-14
5000,"A",10,5,5,0.5,94,2024-01-14
5000,"B",10,10,0,0,94,2024-01-14
6000,"A",10,10,0,0,94,2024-01-14
6000,"B",11,9,2,0.181818181818182,94,2024-01-14
7000,"A",10,9,1,0.1,94,2024-01-14
7000,"B",11,11,0,0,94,2024-01-14
